Time (UTC +02:00 M/d/yyyy h:mm:ss tt),Peak to peak (A) (V),Frequency (A) (Hz)
4/28/2025 9:59:33 PM,0.037876524,26472.854
4/28/2025 9:59:33 PM,0.037876524,26579.953
4/28/2025 9:59:34 PM,0.037876524,26704.254
4/28/2025 9:59:34 PM,0.037876524,26839.51
4/28/2025 9:59:34 PM,0.037876524,26943.11
4/28/2025 9:59:34 PM,0.037876524,27071.035
4/28/2025 9:59:34 PM,0.037876524,27181.766
4/28/2025 9:59:34 PM,0.037876524,27319.23
4/28/2025 9:59:34 PM,0.038322095,27424.617
4/28/2025 9:59:34 PM,0.037876524,27537.01
4/28/2025 9:59:34 PM,0.037876524,27644.232
4/28/2025 9:59:34 PM,0.037876524,27755.066
4/28/2025 9:59:34 PM,0.037876524,27869.562
4/28/2025 9:59:34 PM,0.037876524,27980.584
4/28/2025 9:59:34 PM,0.036985382,28102.52
4/28/2025 9:59:34 PM,0.037876524,28206.51
4/28/2025 9:59:34 PM,0.037876524,28325.082
4/28/2025 9:59:34 PM,0.037876524,28430.934
4/28/2025 9:59:34 PM,0.037876524,28525.97
4/28/2025 9:59:34 PM,0.038322095,28653.182
4/28/2025 9:59:34 PM,0.037876524,28745.994
4/28/2025 9:59:34 PM,0.038322095,28853.553
4/28/2025 9:59:34 PM,0.037876524,28976.031
4/28/2025 9:59:34 PM,0.037876524,29065.105
4/28/2025 9:59:34 PM,0.037876524,29165.328
4/28/2025 9:59:34 PM,0.037876524,29265.557
4/28/2025 9:59:34 PM,0.037876524,29354.482
4/28/2025 9:59:34 PM,0.037876524,29450.89
4/28/2025 9:59:34 PM,0.037876524,29566.229
4/28/2025 9:59:34 PM,0.037876524,29655.041
4/28/2025 9:59:34 PM,0.037876524,29739.973
4/28/2025 9:59:34 PM,0.038322095,29874.568
4/28/2025 9:59:34 PM,0.037876524,29967.127
4/28/2025 9:59:34 PM,0.037876524,30094.375
4/28/2025 9:59:34 PM,0.037876524,30175.318
4/28/2025 9:59:34 PM,0.037876524,30291.115
4/28/2025 9:59:34 PM,0.037876524,30429.213
4/28/2025 9:59:34 PM,0.037876524,30537.135
4/28/2025 9:59:34 PM,0.037876524,30656.898
4/28/2025 9:59:34 PM,0.038322095,30873.107
4/28/2025 9:59:34 PM,0.038322095,30973.346
4/28/2025 9:59:34 PM,0.037876524,31073.582
4/28/2025 9:59:34 PM,0.037876524,31169.822
4/28/2025 9:59:34 PM,0.038322095,31314.236
4/28/2025 9:59:34 PM,0.036985382,31434.201
4/28/2025 9:59:34 PM,0.037876524,31566.668
4/28/2025 9:59:35 PM,0.037876524,31662.818
4/28/2025 9:59:35 PM,0.037876524,31763.016
4/28/2025 9:59:35 PM,0.037876524,31875.482
4/28/2025 9:59:35 PM,0.037876524,31988.03
4/28/2025 9:59:35 PM,0.037876524,32096.547
4/28/2025 9:59:35 PM,0.037876524,32239.205
4/28/2025 9:59:35 PM,0.037876524,32318.615
4/28/2025 9:59:35 PM,0.037876524,32447.762
4/28/2025 9:59:35 PM,0.037876524,32547.91
4/28/2025 9:59:35 PM,0.037876524,32652.246
4/28/2025 9:59:35 PM,0.037876524,32748.207
4/28/2025 9:59:35 PM,0.037430953,32844.145
4/28/2025 9:59:35 PM,0.037876524,32973.863
4/28/2025 9:59:35 PM,0.037876524,33065.6
4/28/2025 9:59:35 PM,0.038322095,33157.297
4/28/2025 9:59:35 PM,0.038322095,33261.734
4/28/2025 9:59:35 PM,0.036985382,33391.895
4/28/2025 9:59:35 PM,0.036985382,33492.17
4/28/2025 9:59:35 PM,0.037430953,33592.445
4/28/2025 9:59:35 PM,0.037876524,33710.027
4/28/2025 9:59:35 PM,0.037876524,33823.812
4/28/2025 9:59:35 PM,0.037430953,33941.273
4/28/2025 9:59:35 PM,0.037876524,34045.76
4/28/2025 9:59:35 PM,0.037876524,34159.027
4/28/2025 9:59:35 PM,0.037876524,34272.383
4/28/2025 9:59:35 PM,0.037876524,34385.83
4/28/2025 9:59:35 PM,0.037876524,34499.355
4/28/2025 9:59:35 PM,0.037876524,34590.766
4/28/2025 9:59:35 PM,0.037876524,34699.934
4/28/2025 9:59:35 PM,0.038322095,34791.293
4/28/2025 9:59:35 PM,0.037876524,34896.03
4/28/2025 9:59:35 PM,0.037876524,35038.12
4/28/2025 9:59:35 PM,0.037876524,35142.73
4/28/2025 9:59:35 PM,0.037876524,35260.934
4/28/2025 9:59:35 PM,0.037876524,35392.87
4/28/2025 9:59:35 PM,0.037876524,35506.805
4/28/2025 9:59:35 PM,0.037430953,35607.105
4/28/2025 9:59:35 PM,0.037876524,35706.86
4/28/2025 9:59:35 PM,0.037876524,35798.52
4/28/2025 9:59:35 PM,0.037876524,35925.293
4/28/2025 9:59:35 PM,0.037430953,36048.45
4/28/2025 9:59:35 PM,0.037876524,36153.215
4/28/2025 9:59:35 PM,0.037430953,36309.215
4/28/2025 9:59:35 PM,0.037876524,36416.316
4/28/2025 9:59:35 PM,0.037430953,36519.2
4/28/2025 9:59:35 PM,0.037876524,36611.715
4/28/2025 9:59:36 PM,0.037876524,36715.137
