Time,Channel 
(ms),(V)

1.10930099,-3.18735313
1.10994099,-3.18735313
1.11058099,-3.01095605
1.11122099,-3.01095605
1.11186099,-2.83516955
1.11250099,-2.83516955
1.11314099,-2.65877247
1.11378099,-2.83516955
1.11442099,-2.65877247
1.11506099,-2.65877247
1.11570099,-2.48237562
1.11634099,-2.48237562
1.11698099,-2.48237562
1.11762099,-2.30597854
1.11826099,-2.30597854
1.11890099,-2.13019204
1.11954099,-2.13019204
1.12018099,-1.95379496
1.12082099,-1.95379496
1.12146099,-1.77739799
1.12210099,-1.77739799
1.12274099,-1.77739799
1.12338099,-1.60100102
1.12402099,-1.60100102
1.12466099,-1.60100102
1.12530099,-1.42521441
1.12594099,-1.42521441
1.12658099,-1.24881744
1.12722099,-1.24881744
1.12786099,-1.24881744
1.12850099,-1.07242048
1.12914099,-1.07242048
1.12978099,-1.07242048
1.13042099,-0.89602345
1.13106099,-0.89602345
1.13170099,-0.89602345
1.13234099,-0.89602345
1.13298099,-0.89602345
1.13362099,-0.72023684
1.13426099,-0.72023684
1.13490099,-0.72023684
1.13554099,-0.72023684
1.13618099,-0.54383981
1.13682099,-0.72023684
1.13746099,-0.54383981
1.13810099,-0.54383981
1.13874099,-0.54383981
1.13938099,-0.54383981
1.14002099,-0.54383981
1.14066099,-0.54383981
1.14130099,-0.36744285
1.14194099,-0.54383981
1.14258099,-0.54383981
